순번,회사명,공장대표주소(지번),업종명,전화번호
5523,동진이엔에스,부산광역시 사상구 감전동 145-33번지,철도차량 부품 및 관련 장치물 제조업 외 3 종,051-865-0034
5524,동진정밀,부산광역시 사상구 덕포동 382-9번지,그 외 자동차용 신품 부품 제조업 외 3 종,051-303-2032
5525,동진철강(주),부산광역시 사상구 학장동 723-51번지 외 1필지,절삭가공 및 유사처리업,051-314-8800
5526,동진컴퍼니,부산광역시 금정구 서동 201-7 2층,"근무복, 작업복 및 유사의복 제조업 외 13 종",051-522-9144
5527,동진콘베어밸트,부산광역시 강서구 대저2동 4533-17번지,금속선 가공제품 제조업,051-973-6633
5528,동진테크,부산광역시 강서구 송정동 1563-13번지,주형 및 금형 제조업 외 3 종,051-831-2922
5529,동진테크,부산광역시 사상구 엄궁동 651-66번지,구조용 금속 판제품 및 공작물 제조업 외 28 종,051-328-1155
5530,동진테크,부산광역시 사상구 학장동 722-38,자동차용 신품 동력전달장치 제조업,051-317-5677
5531,동진테크,부산광역시 사상구 감전동 504-41,유압기기 제조업 외 29 종,051-123-4567
5532,동진특수고무,부산광역시 기장군 정관읍 용수리 9-4번지 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종,051-728-5772
5533,동진하이테크,"부산광역시 부산진구 전포동 673-23 3층, 306호",배전반 및 전기 자동제어반 제조업 외 3 종,051-956-2000
5534,동창셔터금속,부산광역시 금정구 금사동 75-50,"금속 문, 창, 셔터 및 관련제품 제조업",051-529-0303
5535,동창정밀,부산광역시 사상구 학장동 721-34번지,자동차 엔진용 신품 부품 제조업,051-317-8520
5536,동창주조창,부산광역시 사상구 학장동 730-4번지,선철주물 주조업,051-315-2179
5537,동하기전(주),부산광역시 강서구 녹산동 1338-10,배전반 및 전기 자동제어반 제조업,051-263-1540
5538,동하열처리,부산광역시 사상구 삼락동 361-7번지,금속 열처리업,051-302-4455
5539,동해강업(주),부산광역시 기장군 정관읍 달산리 1067-4번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종",051-863-8123
5540,동해건업,부산광역시 강서구 대저2동 5825-1번지,기타 1차 비철금속 제조업,051-973-7102
5541,동해건업,부산광역시 강서구 대저2동 5825-2번지,기타 1차 비철금속 제조업,051-973-7103
5542,동해공업,부산광역시 사상구 학장동 274-18번지,그 외 기타 1차 철강 제조업,051-325-8207
5543,동해공업사,부산광역시 사상구 감전동 956-14번지,선박 구성 부분품 제조업,051-324-1592
5544,동해기계,부산광역시 강서구 대저2동 2703번지,절삭가공 및 유사처리업,055-311-4347
5545,동해목재(주),부산광역시 강서구 송정동 1678번지,일반 제재업,051-831-1233
5546,동해산업,부산광역시 사하구 장림제1동 829-1번지,침구 및 관련제품 제조업,051-261-4867
5547,동해산업,부산광역시 강서구 강동동 661-581번지,육상 금속 골조 구조재 제조업 외 1 종,051-973-0087
5548,동해섬유,부산광역시 남구 용호동 482-13 문창학원 지하 1층,셔츠 및 블라우스 제조업 외 1 종,051-633-8330
5549,동해철강(주),부산광역시 사상구 학장동 258-7번지,그 외 기타 1차 철강 제조업,051-312-2488
5550,동행과 나눔,부산광역시 기장군 정관읍 용수리 386-1,사무 및 회화용품 제조업 외 3 종,051-728-0070
5551,동헌기업,부산광역시 강서구 송정동 1471-4번지,유압기기 제조업 외 1 종,051-831-1911
5552,동헌기업,부산광역시 사상구 학장동 274-7번지,"탭, 밸브 및 유사장치 제조업",051-314-2610
5553,동헌정밀,부산광역시 사상구 감전동 147-7 동헌정밀,금속 절삭기계 제조업,051-325-9307
5554,동현금속   ,부산광역시 기장군 정관읍 달산리 1051-5번지,그 외 자동차용 신품 부품 제조업,미등록
5555,동현금속기계,부산광역시 강서구 미음동 1635-4,금속 주조 및 기타 야금용 기계 제조업,미등록
5556,동현비에스엘,부산광역시 사상구 학장동 286-11번지,그 외 기타 1차 철강 제조업,051-323-8595
5557,동현산업,부산광역시 강서구 화전동 596-12 번지,절삭가공 및 유사처리업,051-831-2920
5558,동현산업사,부산광역시 강서구 대저1동 319-17번지,금속 절삭기계 제조업,051-304-4877
5559,동현스틸,부산광역시 강서구 대저1동 2724-3번지,그 외 기타 1차 철강 제조업,051-315-2510
5560,동현테크,부산광역시 해운대구 재송동 1212번지 7층 703,기기용 자동측정 및 제어장치 제조업 외 1 종,051-819-8093
5561,동현테크 주식회사,부산광역시 기장군 기장읍 동부리 509 비 01호,그 외 기타 봉제의복 제조업 외 1 종,051-724-1046
5562,동현푸드시스템,부산광역시 서구 암남동 721번지 사조씨푸드(주)물류센타 10층,기타 수산동물 가공 및 저장 처리업,051-714-2205
5563,동협전자,부산광역시 사상구 삼락동 364-16번지,기기용 자동측정 및 제어장치 제조업 외 1 종,051-302-2276
5564,동호기계공업(주),부산광역시 강서구 대저2동 528-52번지,건설 및 채광용 기계장비 제조업,051-202-4226
5565,동호기계공업(주),부산광역시 강서구 대저2동 528-16번지,건설 및 채광용 기계장비 제조업,051-202-4227
5566,동호목재산업(주),부산광역시 강서구 송정동 1677-1번지,일반 제재업,051-831-3051
5567,동호철강,부산광역시 사상구 학장동 719-23번지,그 외 기타 1차 철강 제조업,051-315-3995
5568,동호테크,부산광역시 영도구 남항동3가 141-195번지 경남선박공장,선박 구성 부분품 제조업,051-941-5330
5569,동화 엔·에프(N·F),부산광역시 기장군 정관읍 예림리 788-1번지 1층,표면 가공 목재 및 특정 목적용 제재목 제조업,051-552-1888
5570,동화공업사,부산광역시 강서구 화전동  580-10번지,주형 및 금형 제조업,051-301-8726
5571,동화금속,부산광역시 강서구 송정동 1569-2번지,도금업,051-831-3044
5572,동화기업사,부산광역시 강서구 미음동 1637-24,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",051-866-6404
5573,동화넥스콤프,부산광역시 강서구 구랑동 1192-4번지,기체 펌프 및 압축기 제조업,미등록
5574,동화마린테크,부산광역시 영도구 청학동 322-8번지,선박 구성 부분품 제조업 외 1 종,051-412-0080
5575,동화사,부산광역시 연제구 연산동 579-45,"근무복, 작업복 및 유사의복 제조업",051-504-4585
5576,동화산업,부산광역시 사상구 학장동 234-29번지,강주물 주조업,051-322-9347
5577,동화산업(주),부산광역시 강서구 죽동동 383-1번지,"탭, 밸브 및 유사장치 제조업",055-338-5346
5578,동화엔텍송정공장(주),부산광역시 강서구 녹산산업북로313번길 39 (송정동),그 외 기타 일반목적용 기계 제조업 외 6 종,051-315-1663
5579,동화전자,"부산광역시 부산진구 전포동 203-14 1,2층",그 외 기타 전자부품 제조업 외 7 종,051-808-5212
5580,동화정밀,부산광역시 사상구 삼락동 340-1번지,기어 및 동력전달장치 제조업 외 1 종,051-305-8380
5581,동화정밀화학,미음동 1522-2 303호,합성수지 및 기타 플라스틱 물질 제조업,051-262-8280
5582,동화정밀화학(주),부산광역시 강서구 송정동 1727-3번지,인쇄잉크 및 회화용 물감 제조업,051-831-1747
5583,동화철강,부산광역시 강서구 죽림동 577번지,육상 금속 골조 구조재 제조업 외 1 종,미등록
5584,동화철강,부산광역시 사상구 주례동 690-14번지,그 외 기타 1차 철강 제조업,051-324-9251
5585,동훈산업,부산광역시 강서구 대저1동 491-113번지,선박 구성 부분품 제조업,051-326-9245
5586,동훈산업사,부산광역시 사상구 학장동 212-22,주형 및 금형 제조업 외 1 종,051-328-9807
5587,동희개발,부산광역시 강서구 송정동 1553-9번지,그 외 자동차용 신품 부품 제조업 외 3 종,051-819-2806
5588,두남기계,부산광역시 기장군 정관읍 달산리 1072-5번지,금속 절삭기계 제조업,055-367-3358
5589,두담테크,부산광역시 부산진구 개금동 403-6번지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,미등록
5590,두레기공,부산광역시 사하구 다대동 1500-15번지,주형 및 금형 제조업,051-264-5130
5591,두리상사,부산광역시 남구 대연동 920-4 번지 1층,기타 식품 첨가물 제조업,051-623-7463
5592,두림우드,부산광역시 강서구 송정동 870-5번지,목재 깔판류 및 기타 적재판 제조업,미등록
5593,두발로,부산광역시 사하구 신평동 653-2번지,솜 및 실 염색가공업,미등록
5594,두산AUTO서비스,부산광역시 강서구 죽동동 473-34번지,금속 절삭기계 제조업,051-319-2338
5595,두산마그네트산업기계,부산광역시 강서구 명지동 1446-1번지,배전반 및 전기 자동제어반 제조업,051-261-5951
5596,두산정밀미싱,부산광역시 동구 범일동 551-14 두산정밀,"기타 섬유, 의복 및 가죽 가공 기계 제조업",051-643-6293
5597,두산타일몰드,부산광역시 강서구 대저1동 2724-4번지,주형 및 금형 제조업,미등록
5598,두성정밀,부산광역시 사상구 삼락동 360-26번지,주형 및 금형 제조업,051-304-6999
5599,두성테크,부산광역시 강서구 미음동 1637-9,절삭가공 및 유사처리업,미등록
5600,두손기계,부산광역시 강서구 지사동 1207-3번지,그 외 기타 1차 철강 제조업,051-831-7055
5601,두솜(주),부산광역시 사상구 학장동 287-12,그 외 기타 분류 안된 섬유제품 제조업,미등록
5602,두양기계,부산광역시 강서구 화전동 587-1번지,그 외 자동차용 신품 부품 제조업 외 3 종,051-328-1191
5603,두영기계,부산광역시 강서구 구랑동 1194-12,금속 절삭기계 제조업,051-831-5405
5604,두영물류상사,부산광역시 강서구 강동동 4651번지,기타 1차 비철금속 제조업,051-972-5187
5605,두원기계(주),부산광역시 강서구 구랑동 1194-11번지,절삭가공 및 유사처리업 외 3 종,051-831-9516
5606,두원메탈(주),부산광역시 기장군 장안읍 반룡리 830-4번지,절연 코드세트 및 기타 도체 제조업,051-583-8898
5607,두웰 엔지니어링,부산광역시 연제구 연산동 2022-587번지 연산동현대홈타운 상가동 201호,그 외 기타 전기장비 제조업 외 1 종,051-927-7695
5608,두진산업,부산광역시 기장군 장안읍 좌동리 724-1번지 외 1필지 외 1필지,전자 응용 절삭기계 제조업,미등록
5609,두현텍,부산광역시 강서구 대저1동 320-44,금속탱크 및 저장용기 제조업 외 2 종,051-972-1674
5610,듀론(DURONE),부산광역시 남구 용당동 251 부경대학교용당캠퍼스 산학협력관 514-2호,무인 항공기 및 무인 비행장치 제조업,051-623-8138
5611,드림산업,부산광역시 강서구 대저2동 2443,구조용 금속 판제품 및 공작물 제조업,미등록
5612,드림쇼파,부산광역시 동래구 안락동 162-30,소파 및 기타 내장가구 제조업 외 1 종,051-524-1222
5613,드림오션주식회사,부산광역시 영도구 청학동 326-15번지,선박 구성 부분품 제조업,051-412-4054
5614,드림테크,부산광역시 강서구 송정동 1771-9번지,절삭가공 및 유사처리업,051-974-0117
5615,드림테크,부산광역시 강서구 화전동 580-14,주형 및 금형 제조업,미등록
5616,드립커피 인클라인,부산광역시 기장군 장안읍 반룡리 902-7,커피 가공업,미등록
5617,드블류피에스(WPS),부산광역시 사하구 괴정동 250 한라빌딩504호,분사기 및 소화기 제조업,070-8267-0440
5618,드필드,부산광역시 강서구 대저2동 2086-6번지,선박 구성 부분품 제조업,051-941-5881
5619,득공기계,부산광역시 강서구 송정동 1466-2번지,절삭가공 및 유사처리업,051-831-1135
5620,디메디코리아,부산광역시 북구 만덕동 763-13 부산이노비즈센터 201호,그 외 기타 의료용 기기 제조업,미등록
5621,디씨티  ,부산광역시 기장군 장안읍 기룡리 1154-3,특수 직물 및 기타 직물 직조업,055-364-2722
5622,디아이렉신메디텍(주),부산광역시 금정구 회동동 552-1 브이원타워 2층 202호 2층 202호,분말 야금제품 제조업 외 1 종,051-531-4900
5623,디알이엔지,부산광역시 강서구 강동동 87-3번지,절삭가공 및 유사처리업,051-365-0882
5624,디앤아이(D&I),부산광역시 해운대구 재송동 484번지 1층,커튼 및 유사제품 제조업,051-526-3459
5625,디앤에이치,부산광역시 강서구 대저1동 323-13번지,그 외 기타 금속가공업 외 4 종,055-322-2728
5626,디에스비엔지니어링 주식회사,부산광역시 영도구 청학동 2번지,합성수지선 건조업,051-412-5937
5627,디에스산전,부산광역시 강서구 대저2동 3580-3,전동기 및 발전기 제조업 외 6 종,051-325-4248
5628,디에스알(주),부산광역시 강서구 송정동 1551-1번지,끈 및 로프 제조업,051-979-0500
5629,디에스에스(주),부산광역시 수영구 광안동 113-2번지,"전기회로 개폐, 보호장치 제조업 외 3 종",051-628-9626
5630,디에스에이,부산광역시 강서구 송정동 1506-8번지,금속선 가공제품 제조업,051-941-1752
5631,디에스엔지니어링,부산광역시 강서구 대저2동 2402-4번지,절삭가공 및 유사처리업,미등록
5632,디에스케이아이(주),부산광역시 사상구 모라동 1375 부산벤처타워 6층 604호(부산벤처타워),금속 절삭기계 제조업,051-609-9641
5633,디에스테크,부산광역시 강서구 송정동 1652-10번지,절삭가공 및 유사처리업,미등록
5634,디에스테크,부산광역시 강서구 대저1동 315-10번지,자동차용 신품 동력전달장치 제조업 외 1 종,051-971-5364
5635,디에스테크(주),부산광역시 사하구 장림동 546번지,그 외 기타 플라스틱 제품 제조업,051-263-4665
5636,디에스텍,부산광역시 강서구 죽림동 172번지,기타 인쇄업 외 1 종,051-305-3100
5637,디에스플러스포장 주식회사,부산광역시 강서구 대저1동 515-47번지,종이 포대 및 가방 제조업 외 1 종,051-852-3237
5638,디에이치,부산광역시 강서구 대저1동 2728-1번지,강관 제조업 외 4 종,070-8802-6976
5639,디에이치(DH)렉크,"부산광역시 강서구 송정동 1585-1번지 (송정동, 1585-1)",그 외 기타 금속가공업,051-971-6995
5640,디에이치글로벌,부산광역시 강서구 생곡동 1534-2,기타 건축용 나무제품 제조업,051-314-3321
5641,디에이치오션,부산광역시 강서구 강동동 18-135번지,오락 및 스포츠용 보트 건조업 외 2 종,051-911-1161
5642,디에이치케이기술산업(주),부산광역시 기장군 장안읍 오리 산151-2,육상 금속 골조 구조재 제조업,051-973-7277
5643,디에이치케이대도(주)  ,부산광역시 기장군 장안읍 오리 산 158-0,그 외 기타 의료용 기기 제조업 외 1 종,051-728-2001
5644,디에이치테크(주),부산광역시 강서구 화전동 591-3번지,공기 조화장치 제조업 외 8 종,051-314-3321
5645,디에이치테크(주),부산광역시 강서구 화전동 588-2,공기 조화장치 제조업 외 8 종,051-314-3321
5646,디에이치파워주식회사,부산광역시 금정구 회동동 152-16,배전반 및 전기 자동제어반 제조업 외 4 종,051-521-4058
5647,디에치테크(D.H.TEC),부산광역시 강서구 강동동 250-12번지,육상 금속 골조 구조재 제조업 외 1 종,051-311-4577
5648,디엔씨하이텍,부산광역시 강서구 송정동 1668-2번지,주형 및 금형 제조업,051-271-2680
5649,디엔에스식품,부산광역시 기장군 기장읍 청강리 245-1번지,그 외 기타 식료품 제조업,051-724-9111
5650,디엔에스안전산업,부산광역시 사하구 신평동 493 없음동 7층 710호,어망 및 기타 끈 가공품 제조업,미등록
5651,디엔에이치,부산광역시 사상구 학장동 722-35,"용기 세척, 포장 및 충전기 제조업",051-311-4540
5652,디엔엠,부산광역시 사상구 학장동 278-27번지,절삭가공 및 유사처리업,051-313-1662
5653,디엘일렉트릭,부산광역시 영도구 동삼동 201-61,전기.전자 및 정밀기기 수리업,051-463-7040
5654,디엘티 코리아 주식회사,부산광역시 동래구 명장동 131-24 1층,전자감지장치 제조업 외 5 종,051-521-1418
5655,디엠금속(주),부산광역시 강서구 송정동 1686-3번지 외 1필지,선철주물 주조업,051-831-4521
5656,디엠케이인터내셔날,"부산광역시 해운대구 석대동 617 테크노타워 4층 402, 403호 4층 402, 403호",기타 가정용 전기기기 제조업,051-525-8279
5657,디엠테크,부산광역시 강서구 미음동 1570-1번지,산업처리공정 제어장비 제조업,051-972-8777
5658,디엠티,부산광역시 영도구 동삼동 201-94,선박 구성 부분품 제조업 외 1 종,051-261-7933
5659,디엠티대명(주),부산광역시 강서구 미음동 758번지,금속탱크 및 저장용기 제조업 외 1 종,051-973-5893
5660,디오,부산광역시 강서구 송정동 1190-19,가금류 가공 및 저장 처리업 외 7 종,미등록
5661,디오더블유(DOW),부산광역시 강서구 화전동 584-1,절삭가공 및 유사처리업,051-972-4589
5662,디올아트,부산광역시 연제구 거제동 815-63번지,경 인쇄업 외 1 종,051-636-1142
5663,디와이(DY)다이텍,부산광역시 사하구 신평동 651-2번지,섬유제품 기타 정리 및 마무리 가공업,051-293-2285
5664,디와이(DY)조선,부산광역시 사하구 다대동 380-2,기타 선박 건조업,051-261-0331
5665,디와이솔,부산광역시 사상구 감전동 509-21번지,기타 신발 제조업,051-326-7952
5666,디와이이엔지,부산광역시 영도구 청학동 326-6 1동 1층,선박 구성 부분품 제조업 외 3 종,051-414-0718
5667,디와이텍,부산광역시 강서구 미음동 1549-9 일화공업(주),변압기 제조업 외 3 종,051-714-5144
5668,디와이피,부산광역시 사상구 모라동 659-17,오프셋 인쇄업,051-301-6001
5669,디자인 이룸(E.Room),"부산광역시 부산진구 부전동 532-10 거북골빌딩 7층 (702,703호)",제판 및 조판업 외 3 종,051-809-0014
5670,디자인글꼴,부산광역시 부산진구 범천동  876-10번지,기타 인쇄업 외 1 종,051-636-1210
5671,디자인니즈,부산광역시 강서구 대저1동 488-3번지,전시 및 광고용 조명장치 제조업,051-917-9907
5672,디자인레전드,부산광역시 해운대구 반송동 261-23,기타 인쇄업,051-747-4520
5673,디자인매일,"부산광역시 중구 대청동3가 2 2층, 3층",기타 인쇄업 외 3 종,051-467-3337
5674,디자인문진,부산광역시 서구 동대신동3가 385-8번지,기타 인쇄업 외 1 종,051-254-1616
5675,디자인스틸,부산광역시 강서구 화전동 587-2번지,그 외 기타 분류 안된 금속 가공 제품 제조업,미등록
5676,디자인우경,부산광역시 부산진구 전포동 33-47 1층,기타 인쇄업 외 1 종,051-804-6451
5677,디자인컵 ,부산광역시 기장군 장안읍 반룡리 900-3,전구 및 램프 제조업,070-7560-7502
5678,디자인혼,부산광역시 해운대구 송정동 130-27 1층 및 2층일부,간판 및 광고물 제조업 외 1 종,051-987-0320
5679,디자인혼,부산광역시 기장군 정관읍 용수리 1038-4번지,간판 및 광고물 제조업 외 1 종,051-987-0320
5680,디자인혼,부산광역시 기장군 장안읍 반룡리 898-1,기타 건축용 나무제품 제조업 외 1 종,051-987-0320
5681,디제이씨푸드,부산광역시 사하구 장림동 525-14번지 1층,수산동물 냉동품 제조업,051-265-9490
5682,디지마린주식회사,부산광역시 해운대구 재송동 1212번지 22층 2211 22층 2211호,"레이더, 항행용 무선기기 및 측량기구 제조업 외 2 종",051-783-2430
5683,디지털치과기공소,부산광역시 해운대구 우동 1462 센텀그린타워 904호,정형외과용 및 신체보정용 기기 제조업,ARS-1670-2193
5684,디케이,부산광역시 강서구 대저1동 490-3번지,"탭, 밸브 및 유사장치 제조업",051-305-3770
5685,디케이(DK)폴리테크,부산광역시 강서구 죽림동 578-8번지,플라스틱 필름 제조업,051-972-5968
5686,디케이공업(주),부산광역시 사상구 덕포동 353-15번지,자동차 엔진용 신품 부품 제조업 외 1 종,051-301-5995
5687,디케이글로비즈,부산광역시 사상구 감전동 515-4번지 3층 303 3층 303호,기타 신발 제조업,051-302-4422
5688,디케이모터스(주),부산광역시 금정구 회동동 552-2번지,자동차용 신품 동력전달장치 제조업 외 1 종,051-527-9136
5689,디케이모터스(주),"부산광역시 금정구 회동동 552-3번지 (552-3,4번지)",자동차용 신품 동력전달장치 제조업,051-527-9136
5690,디케이모터스(주),부산광역시 금정구 회동동 552-5번지,자동차용 신품 동력전달장치 제조업,051-527-9136
5691,디케이테크,부산광역시 강서구 송정동 1469-11번지 B동,기타 구조용 금속제품 제조업,051-265-3355
5692,디케이티 ,부산광역시 강서구 화전동 584-5,"기타 비철금속 압연, 압출 및 연신 제품 제조업",051-831-8493
5693,디케이티엠아이인터내셔널(주),부산광역시 강서구 식만동 361번지,"탭, 밸브 및 유사장치 제조업",051-973-7331
5694,디케이플랜트(주),부산광역시 강서구 구랑동 1226-7번지,"산업용 오븐, 노 및 노용 버너 제조업 외 2 종",051-271-1342
5695,디텍(주),부산광역시 강서구 미음동 1570-6번지,합성수지선 건조업 외 1 종,051-831-6880
5696,디피아이(주),"부산광역시 강서구 송정동 1771-8번지 (송정동,1771-8)",그 외 기타 일반목적용 기계 제조업 외 2 종,051-941-0878
5697,디피에스테크놀로지,부산광역시 강서구 화전동 596-6 동아정밀공업사,"금속 문, 창, 셔터 및 관련제품 제조업 외 8 종",미등록
5698,라영밴딩,부산광역시 강서구 송정동 1666-2번지,절삭가공 및 유사처리업,051-831-7883
5699,라온,부산광역시 동래구 명장동 153-3 1층,구조용 금속 판제품 및 공작물 제조업,미등록
5700,라온로보틱스,부산광역시 기장군 장안읍 반룡리 945 라온로보틱스,산업용 로봇 제조업,051-522-5140
5701,라온수출포장,부산광역시 강서구 송정동 1559-6,"목재 포장용 상자, 드럼 및 유사용기 제조업",051-973-9028
5702,라온테크,부산광역시 강서구 송정동 1621-6번지,주형 및 금형 제조업,070-8287-1291
5703,라이온제과,부산광역시 사하구 장림동 541번지 외 1필지,과자류 및 코코아 제품 제조업,5112-4149
5704,라이즈테크디아이디(RISETECHDID),부산광역시 금정구 금사동 111-4 1층,전시 및 광고용 조명장치 제조업,ARS-1566-5866
5705,라이프코리아,부산광역시 중구 대청동1가 33-1번지,기타 인쇄업 외 1 종,051-465-7373
5706,라프랑스,부산광역시 해운대구 반여동 747-3 2층,빵류 제조업 외 1 종,051-758-5231
5707,락크웰,부산광역시 사하구 구평동 34-10번지,"근무복, 작업복 및 유사의복 제조업 외 3 종",051-265-1121
5708,락테크,부산광역시 강서구 송정동 1617-8,절삭가공 및 유사처리업,051-714-6283
5709,랩스,부산광역시 사상구 엄궁동 138-2 105호,"전자기 측정, 시험 및 분석기구 제조업 외 9 종",070-7366-2883
5710,러브리전산,부산광역시 해운대구 석대동 633번지,기타 주변기기 제조업,051-759-5252
5711,럭키스텐플랜지,부산광역시 사상구 감전동 168-21번지,그 외 기타 일반목적용 기계 제조업 외 1 종,051-322-7744
5712,럭키시스템,부산광역시 강서구 대저1동 1170-1,기타 목재가구 제조업,051-333-3355
5713,럭키테이프,부산광역시 영도구 청학동 91번지,그 외 기타 플라스틱 제품 제조업,051-416-5811
5714,런텍,부산광역시 강서구 미음동 192-21번지,"증류기, 열교환기 및 가스발생기 제조업",미등록
5715,레날티엠티 주식회사,부산광역시 영도구 남항동2가 111-1 레날티엠티주식회사,선박 구성 부분품 제조업,051-466-8984
5716,레더팔레트,부산광역시 영도구 대교동1가 150-2 나나빌딩 4층,핸드백 및 지갑 제조업 외 1 종,051-418-9391
5717,레보(주),부산광역시 사하구 다대동 1522-4번지,그 외 기타 전자부품 제조업 외 3 종,051-262-8827
5718,레프코리아,부산광역시 사하구 신평동 592-8,산업용 냉장 및 냉동 장비 제조업,051-203-1258
5719,렉스피드 (REXPID),부산광역시 사하구 장림동 548-0번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,051-263-1908
5720,렌텍(주),부산광역시 강서구 송정동 1558-19번지,건설 및 채광용 기계장비 제조업,051-831-1343
5721,렙콘컴퍼니,부산광역시 강서구 생곡동 859-4,"체조, 육상 및 체력단련용 장비 제조업",미등록
5722,로그인,부산광역시 사상구 엄궁동 138-2번지 부산테크노파크 303호,일반용 전기 조명장치 제조업,051-317-6600
5723,로드메카트로닉스,부산광역시 사하구 장림동 1146번지 3층 304 3층 304호,그 외 기타 전기장비 제조업 외 1 종,051-263-7347
5724,로마전자기술,부산광역시 강서구 대저1동 374-6,그 외 기타 전자부품 제조업 외 2 종,051-528-6301
5725,로보트론,부산광역시 사하구 신평동 514번지,산업용 로봇 제조업 외 1 종,051-203-3090
5726,로보트론,부산광역시 강서구 미음동,산업용 로봇 제조업,051-292-3004
5727,로보틱스퍼실리티,부산광역시 사상구 괘법동 562-56,산업용 로봇 제조업,미등록
5728,로카디(주),부산광역시 강서구 송정동 1563-9번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 3 종,051-831-1721
5729,로카디(주),부산광역시 강서구 송정동 1644-11 번지 외 1필지,육상 금속 골조 구조재 제조업 외 5 종,051-831-1721
5730,록스텍코리아(주),부산광역시 사하구 다대동 1518-1번지,선박 구성 부분품 제조업,051-314-9787
5731,록지매트,부산광역시 사상구 엄궁동 651-105,침구 및 관련제품 제조업,051-647-8151
5732,롯데웰푸드(주)부산공장            ,부산광역시 기장군 정관읍 달산리 1060번지,빵류 제조업,051-780-3184
5733,루트광학,부산광역시 사하구 장림동 463-8번지 B동 2층,안경 및 안경렌즈 제조업,051-264-8755
5734,르노코리아자동차 주식회사,부산광역시 강서구 신호동 185번지,자동차용 엔진 제조업 외 6 종,051-979-7303
5735,리노공업(주),부산광역시 강서구 송정동 1569-14번지,도금업,051-831-3232
5736,리노공업(주),부산광역시 강서구 구랑동 1184-4번지,그 외 기타 전자부품 제조업 외 1 종,051-831-3232
5737,리노공업(주),부산광역시 강서구 송정동 1735-2 한국청정도금센터 1동 3층 301호,도금업,051-831-3232
5738,리노공업(주),부산광역시 강서구 구랑동 1184-3번지,그 외 기타 전자부품 제조업 외 1 종,051-831-3232
5739,리노공업(주),부산광역시 강서구 송정동 1571-7번지,도금업,051-831-3232
5740,리노공업(주),부산광역시 강서구 구랑동 1184-2,그 외 기타 전자부품 제조업,051-831-3232
5741,리녹스(주),"하단동 840 창업관 103-4호, 412호",그 외 기타 금속가공업,070-5066-3760
5742,리녹스(주),부산광역시 사상구 덕포동 268-18,그 외 기타 금속가공업,070-5066-3760
5743,리딩솔루션,부산광역시 강서구 지사동 1274번지 디지털센터 104-3호,자동차용 신품 동력전달장치 제조업 외 5 종,051-516-0953
5744,리모텍씨엔씨,부산광역시 강서구 송정동 1495-1번지,선박 구성 부분품 제조업 외 24 종,미등록
5745,리얼테크,부산광역시 영도구 남항동3가 29-116번지,선박 구성 부분품 제조업,051-989-1230
5746,리오기업,부산광역시 강서구 송정동 1473-1번지,도장 및 기타 피막처리업 외 3 종,051-831-4810
5747,리우스틸산업,부산광역시 강서구 송정동 1587-2 외 1필지,볼트 및 너트류 제조업 외 1 종,051-941-7805
5748,리켄케이키코리아(주),부산광역시 강서구 화전동 589-7 번지,전기경보 및 신호장치 제조업,051-518-3613
5749,리켐코리아,부산광역시 강서구 송정동 1569-4번지,도금업,051-972-4189
5750,린데코리아(주),부산광역시 강서구 송정동 1729-4번지 외 1필지,산업용 가스 제조업,02-2188-2200
5751,린데코리아(주),부산광역시 강서구 송정동 1729-16번지 외 1필지,산업용 가스 제조업,02-2188-2200
5752,림스마린서비스,부산광역시 사하구 구평동 480-2 번지,그 외 기타 특수목적용 기계 제조업 외 1 종,051-413-9730
5753,림스마린서비스,부산광역시 강서구 화전동 583-11번지,기체 펌프 및 압축기 제조업,051-413-9730
5754,림팩토리 주식회사,부산광역시 강서구 강동동 2930-1,그 외 기타 고무제품 제조업,미등록
5755,링스텍,부산광역시 강서구 강동동 871-1,금속 스프링 제조업,051-973-7990
5756,링엔지니어링,부산광역시 강서구 송정동 1504-5번지,금속 절삭기계 제조업,051-831-1204
5757,링크정보시스템(주),"부산광역시 해운대구 우동 1459번지 701호, 702호, 703호",유선 통신장비 제조업 외 6 종,051-508-9722
5758,마노기술주식회사,부산광역시 강서구 대저1동 320-34번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 9 종",051-897-0912
5759,마노테크,부산광역시 사하구 장림동 457-2번지,"전기회로 개폐, 보호장치 제조업 외 1 종",051-714-1330
5760,마르덱스코리아(주),부산광역시 해운대구 우동 1460 센텀 T 타워 5층 506호,내연기관 제조업,051-746-5052
5761,마린서비스코리아(MARINE SERVICE KOREA),부산광역시 강서구 대저1동 2818-3,그 외 기타 전자부품 제조업,미등록
5762,마린시스템,부산광역시 기장군 정관읍 예림리 203-21,기기용 자동측정 및 제어장치 제조업,051-740-6020
5763,마린전자상사,부산광역시 동구 초량동 1144-8번지 지하1층,"레이더, 항행용 무선기기 및 측량기구 제조업 외 2 종",051-441-1922
